20:58:34:529 [WARN]	SSL certificate signed by unknown CA
20:58:34:530 [WARN]	SSL certificate signed by unknown CA
20:58:34:530 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:531 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:535 [WARN]	SSL certificate signed by unknown CA
20:58:34:535 [WARN]	SSL certificate signed by unknown CA
20:58:34:535 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:535 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:537 [WARN]	SSL certificate signed by unknown CA
20:58:34:537 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:539 [WARN]	SSL certificate signed by unknown CA
20:58:34:539 [WARN]	SSL certificate signed by unknown CA
20:58:34:539 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:539 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:539 [WARN]	SSL certificate signed by unknown CA
20:58:34:540 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:543 [WARN]	SSL certificate signed by unknown CA
20:58:34:543 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
20:58:34:543 [WARN]	SSL certificate signed by unknown CA
20:58:34:543 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:01:34:504 [WARN]	SSL certificate signed by unknown CA
21:01:34:504 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
